Customer ID,Comfort,Fit & Sizing,Preferred Pieces,Design & Style,Material Quality,Color & Patterns,Additional Aspects,Fashion Type
5995,4,2,Maxi Dress,Artistic,Good,Brown,Dissatisfied,Bohemian
6898,5,4,Snapback,Stylish,Excellent,Red,Dissatisfied,Streetwear
8237,4,2,Yoga Pants,Stylish,Good,Floral,Dissatisfied,Athleisure
7336,3,3,Joggers,Bold Graphics,Good,Gray,Satisfied,Streetwear
7650,4,4,Snapback,Bold Graphics,Good,Pink,Dissatisfied,Streetwear
1623,3,3,Polo Shirt,Simple,Average,Navy,Dissatisfied,Casual
9712,5,2,Sweat-wicking Tee,Bold Graphics,Good,Brown,Dissatisfied,Athleisure
5823,3,3,Maxi Dress,Artistic,Good,Pink,Dissatisfied,Bohemian
8297,3,3,Sweat-wicking Tee,Bold Graphics,Average,Black,Satisfied,Athleisure
5499,4,2,Maxi Dress,Artistic,Good,White,Dissatisfied,Bohemian
6765,3,4,Snapback,Stylish,Excellent,Floral,Dissatisfied,Streetwear
8826,4,1,Leggings,Bold Graphics,Average,Navy,Dissatisfied,Athleisure
2510,5,5,Formal Shirt,Elegant,Excellent,Pink,Dissatisfied,Formal
2764,4,4,Suit,Elegant,Excellent,Purple,Dissatisfied,Formal
9874,5,1,Leggings,Bold Graphics,Good,Pink,Dissatisfied,Athleisure
4037,5,2,Boho Blouse,Artistic,Good,Red,Dissatisfied,Bohemian
9902,4,1,Leggings,Bold Graphics,Good,Green,Dissatisfied,Athleisure
5924,3,3,Boho Blouse,Artistic,Excellent,Blue,Dissatisfied,Bohemian
8534,5,3,Yoga Pants,Bold Graphics,Average,Blue,Satisfied,Athleisure
6103,3,3,Joggers,Stylish,Good,Gray,Dissatisfied,Streetwear
9647,5,2,Sweat-wicking Tee,Stylish,Average,Purple,Satisfied,Athleisure
5316,5,2,Maxi Dress,Artistic,Good,Green,Dissatisfied,Bohemian
3669,4,4,Formal Shirt,Elegant,Excellent,Purple,Satisfied,Formal
1065,5,2,Cargo Pants,Artistic,Good,Floral,Satisfied,Casual
9318,3,3,Sweat-wicking Tee,Bold Graphics,Average,Gray,Satisfied,Athleisure
6996,5,4,Snapback,Bold Graphics,Good,Brown,Dissatisfied,Streetwear
5232,5,3,Embroidered Skirt,Artistic,Good,Gray,Dissatisfied,Bohemian
211,5,2,Tunic,Simple,Good,Blue,Satisfied,Casual
2884,4,5,Suit,Elegant,Excellent,Navy,Satisfied,Formal
961,4,3,Tank Top,Simple,Good,Floral,Dissatisfied,Casual
1580,3,1,Embroidered Top,Artistic,Average,Navy,Dissatisfied,Casual
